# ----------------------------------------
# Drive sales overview
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260501
Nth day,Total revenue
0000,41280.000408
0001,119958.999861
0002,15960.000408
0003,81122.99917
0004,140732.000059
0005,19989.999737
0006,57808.000065
0007,0
0008,0
0009,806639.000159
0010,47759.000434
0011,19979.999718
0012,48460.000082
0013,26990.000296
0014,47139.000547
0015,29279.999572
0016,80970.000266
0017,27980.000423
0018,34419.999844
0019,92694.999959
0020,128960.000908
0021,150995.000038
0022,73970.00003
0023,0
0024,179299.99969
0025,31293.000181
0026,53298.000346
0027,17760.000092
0028,54673.000256
0029,88750.000856
0030,120229.999737
0031,77459.999577
0032,57910.000317
0033,148671.000598
0034,89358.999382
0035,75007.000339
0036,85439.000213
0037,86000.000459
0038,64269.999928
0039,27659.999652
0040,26990.000013
0041,0
0042,25989.99991
0043,114420.000741
0044,89468.999757
0045,0
0046,65969.999727
0047,57458.999953
0048,19989.999892
0049,74709.000433
0050,0
0051,44580.999748
0052,34280.000237
0053,0
0054,0
0055,104096.999185
0056,85949.00108
0057,21849.999971
0058,164371.999617
0059,91529.999577
0060,187037.99877
0061,59303.000237
0062,190772.999611
0063,74850.000396
0064,68238.999848
0065,31714.000176
0066,48720.00008
0067,137059.000293
0068,92117.999473
0069,105487.000386
0070,76920.000513
0071,0
0072,59980.000321
0073,78448.000468
0074,81398.999976
0075,0
0076,7999.000203
0077,69562.000209
0078,259920.999224
0079,190129.999601
0080,109887.999202
0081,139820.000875
0082,160029.999528
0083,158987.999996
0084,70120.000859
0085,11969.999688
0086,50080.000515
0087,20609.999767
0088,48110.000668
0089,104439.000334
0090,92440.000366
0091,47210.000214
0092,184759.999273
0093,84358.000424
0094,0
0095,63949.999628
0096,44335.000359
0097,120208.99946
0098,395219.999216
0099,90300.000504
0100,102747.999857
0101,19480.000447
0102,435839.999818
0103,134329.999632
0104,146916.999616
0105,190718.000946
0106,104360.000479
0107,15430.00033
