# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: Genera Industrial
# Property: Genera Industrial GA4 - Dardock
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,933,939,47,27.255091103965704,1.0707395498392283,6076,5431,0.9978563772775991
Display,634,642,17,43.7602523659306,1.0520504731861198,3822,3441,1
Cross-network,354,352,24,25.426553672316384,1.1355932203389831,2294,1724,1
Organic Search,311,314,53,70.53376205787781,1.3858520900321543,3042,2376,0.9967845659163987
Direct,220,210,25,48.79090909090909,1.55,2824,1920,0.9363636363636364
Email,36,39,3,16.444444444444443,1.1388888888888888,193,175,1
Unassigned,24,11,4,27.130434782608695,1.2173913043478262,179,112,0.6086956521739131
Referral,12,12,2,66.33333333333333,1.3333333333333333,93,73,1
Organic Shopping,11,11,2,86.0909090909091,1.3636363636363635,161,97,1
Organic Social,2,2,0,39.5,1,20,18,1
Paid Video,1,1,0,0,1,3,3,1
