Informe de palabras clave de búsqueda
1 de enero de 2026 - 1 de mayo de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,Código de moneda,CPC máx.,URL final,Impr.,CTR,Costo,Nivel de calidad,Exp. en página de destino,Relevancia del anuncio,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,termo de agua,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,2,0.00%,0,3,Inferior al promedio,Superior al promedio,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo con mate incluido,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,comprar termo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,1,0.00%,0,3,Inferior al promedio,Superior al promedio,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos jumbo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,"""porta termos chilenos""",Concordancia de frase,Cosas Nuestras A/B [exacta],Portatermos (23/1),No apta,publicación limitada,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo litro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos homecenter,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,botella de agua termo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,'portatermos elegantes',Concordancia amplia,Cosas Nuestras A/B [exacta],Portatermos (23/1),No apta,publicación limitada,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,botella de agua termica 1 litro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo para mate lumilagro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo con manija,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos inox,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo medio litro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo de un litro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,"""porta termos importados""",Concordancia de frase,Cosas Nuestras A/B [exacta],Portatermos (23/1),No apta,publicación limitada,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo de acero inoxidable,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,2,0.00%,0,4,Inferior al promedio,Promedio,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo bebidas calientes,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo para agua fria,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Limitada,baja calidad,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo botella de agua,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos argentinos para mate,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo con bombilla,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,2,0.00%,0,6,Inferior al promedio,Promedio,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo de agua 1 litro,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,"""tienda portatermos""",Concordancia de frase,Cosas Nuestras A/B [exacta],Portatermos (23/1),No apta,publicación limitada,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,mercado libre termos para agua,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,tottus termos,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,botella termico,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,mate autocebante acero,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,"1,202",5.91%,9527,3,Inferior al promedio,Superior al promedio,71,0.00%,0.00,0.00,0.00,134,0,0.00
Habilitado,termo mate argentino,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo para bebidas frias,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,el mejor termo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo frio calor,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos plasticos,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo lumilagro forrado,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termos pequeños para agua,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
Habilitado,termo para conservar hielo,Concordancia amplia,Cosas Nuestras A/B [exacta],Termos,Apta,,CLP, --,,0, --,0, --, --, --,0,0.00%,0.00,0.00,0.00,0,0,0.00
