Informe de productos
1 de enero de 2026 - 1 de mayo de 2026
Imagen,Título,ID de comerciante,ID de artículo,Estado,Problemas,Precio,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Conversiones,Costo/conv.,Porcentaje de conv.,Valor de conv./costo
http://t1.gstatic.com/shopping?q=tbn:ANd9GcToS2p2kfgGYEdyrWo8tG2jfx8w1vgPgLm4kuEoa_2Hsr-LpyHt0aswWEOFllaJAYyHXbBe4Kq8,Portatermo Gris Oscuro Compartimiento – Tela Oxford Aislada,144541525,shopify_cl_10102192734489_51365567267097,Apto,,"CLP22,990",1,"1,753",0.06%,CLP,363,363,0.00,0,0.00%,0.00
http://t3.gstatic.com/shopping?q=tbn:ANd9GcTsNZUu6Yzh0qOe0RWKuLnR2gaWihroBAqMMWIN_jyPrJFbnhmS8ckjdksUz7Bjnbge3G5K-u8c,Set Regalo Matero: Todo listo para sorprender y disfrutar desde el primer momento Blanco,144541525,shopify_cl_9721134612761_49782182969625,Apto,,"CLP36,000",0,227,0.00%,CLP,0,41,0.00,0,0.00%,0.00
http://t3.gstatic.com/shopping?q=tbn:ANd9GcRF2jsdyozqpBz6rj8GGfPuu9nuZ8LGrebvVTot11akDgMmaMwhP9N0BTKweSNdmlF-P8Ltht50,"Mate Sabio Calabaza con Bombilla | Sistema de Vaciado Rápido | Práctico, Higiénico y Duradero Azul",144541525,shopify_cl_9404275687705_48805964841241,Apto,,"CLP7,990",2,464,0.43%,CLP,125,250,0.00,0,0.00%,0.00
http://t1.gstatic.com/shopping?q=tbn:ANd9GcTJbVbhpg5akZlFIKsQDROEns79x6L_9OI1m5J87mPY08wHN2jNdu7lvpqBsF0AWppIAXPY_lU,"Mate Sabio Bocha | Sistema de Vaciado Rápido | Práctico, Resistente y Fácil de Limpiar Púrpura",144541525,shopify_cl_9404162638105_48805786747161,Apto,,"CLP8,990",47,"4,394",1.07%,CLP,97,4556,0.33,13668,0.68%,1.10
http://t0.gstatic.com/shopping?q=tbn:ANd9GcSWtBAoixUy0fE7UtAE90yuj2aZuIevb8TtJIsZ-5Mnf5ODK7jhJ80n72BVTNJCHksfgDyp0i_-,Mate Terraza Negro | Diseño Moderno + Alta Resistencia | 200 ml,144541525,shopify_cl_9404275458329_48805963596057,Apto,,"CLP18,990",0,233,0.00%,CLP,0,35,0.00,0,0.00%,0.00
http://t0.gstatic.com/shopping?q=tbn:ANd9GcSH_IUsWZq7cWkRonqC94u3JFKMETUPERuGdvgLtziB-Z2Eipceo-1VrrgEID7IHmv1FNcdJnU,Set Matero Acero Inox. Con Mate Y Bombilla Naranjo Cobre 1.2 L Blanco,144541525,shopify_cl_10324112113945_52223733793049,Apto,,"CLP19,990",11,945,1.16%,CLP,155,1709,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcTCWS5RtKf1S5M_8z9Ref6OqA2nqAwOy_78-nu9q84UO5U0KJa1KWeiJv43DoZ9dSac_NY-LSM,Bizcochos Don Satur Salados 200grs.,144541525,shopify_cl_9404158509337_48805775900953,Apto,,"CLP2,290",48,"3,176",1.51%,CLP,96,4597,3.00,1532,2.54%,34.80
http://t2.gstatic.com/shopping?q=tbn:ANd9GcQqYu-lyys6BIYDvISlluPCeA2VfJM4wHBF4EohAWKESyayoaB13wzDHDxOJw,Asadera Para Aves jovifel,144541525,shopify_cl_9404032745753_48805495537945,Apto,,"CLP14,990",0,"1,383",0.00%,CLP,0,94,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcQupissM40sNvzL3O6biMiQAS9AH1WZ3ju2spmXaG6d10YWKsIpx7OX2cHItExQoi31pu4_Qgej,"Mate Sabio Calabaza con Bombilla | Sistema de Vaciado Rápido | Práctico, Higiénico y Duradero Amarillo",144541525,shopify_cl_9404275687705_48805964087577,Apto,,"CLP7,990",0,643,0.00%,CLP,0,12,0.00,0,0.00%,0.00
http://t0.gstatic.com/shopping?q=tbn:ANd9GcQWXvsLx-YU2eUG9Se1eqANvm5jUk4dgzx0p5FejNfWc6KhcbbcFsOscWLMj0Y,yerba mate la merced monte 500gr,144541525,shopify_cl_9404075114777_48805590270233,Apto,,"CLP6,990",11,902,1.22%,CLP,87,955,0.00,0,0.00%,0.00
http://t1.gstatic.com/shopping?q=tbn:ANd9GcQhDDtFY8cPlXGKZTqVbaU0YzLf8fFtAxjtFMBEiLcFze16XdSWwmzgv-_Dmru12HHk70ciddek,Mate acero inoxidable (LG) doble capa térmica Rosa,144541525,shopify_cl_9604339400985_49340376285465,Apto,,"CLP12,990",3,747,0.40%,CLP,162,487,0.50,973,12.50%,13.35
http://t2.gstatic.com/shopping?q=tbn:ANd9GcQf0x-xz6D0yBdKzywazaRHXj2PryujMZIJG5fYwHhI9ix2v1jMylGY57eFe2iUbdLBVl5f7X0,"Mate Sabio Bocha | Sistema de Vaciado Rápido | Práctico, Resistente y Fácil de Limpiar Rosa",144541525,shopify_cl_9404162638105_48805786714393,No apto,Agotado,"CLP8,990",2,94,2.13%,CLP,136,272,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcTEbzpi9sDpKbiHiEIOyvL9GlBzjCoby4HQH4R07o7Zge1tsU98LYTluQ0MONHDHsLKL9-UVZvYkw,Mate acero inoxidable (LG) doble capa térmica Rojo,144541525,shopify_cl_9604339400985_49444159160601,Apto,,"CLP12,990",0,74,0.00%,CLP,0,0,0.00,0,0.00%,0.00
http://t3.gstatic.com/shopping?q=tbn:ANd9GcSZvXs9NayqCv70DpY93YvUDfObXAC79eB3cnuTMCM8OsmYTv0B6CfRcaq9jJzKbpmdSXKCB14,Vaso de acero inoxidable doble pared 880 ml Negro,144541525,shopify_cl_9884191818009_50550215016729,Apto,,"CLP11,990",0,131,0.00%,CLP,0,0,0.00,0,0.00%,0.00
http://t0.gstatic.com/shopping?q=tbn:ANd9GcTxdo3tUC1aB82w9hgEO5BIkb-OoTG94cSsDYqzRNISRKgR4aqwo9j1quJiL7JWNPGs_55h4s9U9w,Pack x3 Mates Sabio Calabaza | Innovación Matera con Sistema de Vaciado Rápido | 3x$14540 Celeste,144541525,shopify_cl_9404082553113_48805606162713,Apto,,"CLP23,970",3,811,0.37%,CLP,801,2402,0.40,6005,13.33%,2.42
http://t2.gstatic.com/shopping?q=tbn:ANd9GcRaF_A1qs_XCJSqZGg8ZoZY9BHMKLKeI6xF0kADGZ57eqUT3LhpGnLBdCBzfF-zUREtPaR_m52H,Mate de Vidrio Eco Cuero Pedestal II | Virola de Aluminio | Listo para Usar | 200 ml MAPA,144541525,shopify_cl_9404027928857_50171023360281,No apto,Agotado,"CLP7,999",0,24,0.00%,CLP,0,0,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcTB_MoTjs3M-AKbgwkEr0pBlfDDLv4BtvyeAqX8RhFL6PCvuYlWTu6-oRznpALT-wUy7zuBRgQ,"Mochila Matera | Premium Gris | Térmica, Acolchada y Súper Versátil Verde Musgo",144541525,shopify_cl_10102342549785_51754041508121,Apto,,"CLP29,990",26,"2,374",1.10%,CLP,118,3064,0.00,0,0.00%,0.00
http://t3.gstatic.com/shopping?q=tbn:ANd9GcTJvqC_H7BCZCC2vwKHaxN2SPj-LJ7ubgoMj5Z2Xf1VTASY1TMSyqowYVWCMYSs7vue4fbNtEU,Set Matero Acero Inoxidable Negro | Mate Doble Capa + Bombilla Pulida | Mantiene la Temperatura Ideal,144541525,shopify_cl_9404291711257_48806011765017,Apto,,"CLP21,480",42,"8,903",0.47%,CLP,209,8772,1.00,8772,2.08%,0.74
http://t1.gstatic.com/shopping?q=tbn:ANd9GcT0h-0367YIicUfz7J-xJa8rGiqOdSM77NSWfkn3-uCm8CNOuzvyWanWjwhJr8rOc3gEQO6VkSL,Yerba Mate Cachamate Compuesta Clásica 500grs,144541525,14602734073211440698,Apto,,"CLP3,990",25,"2,775",0.90%,CLP,81,2013,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcTUeOvLKt9jAKOguMUPtnQ7reclmNSjZIzk2FrjEQHOJbdIabYQTN1zOs1N,"Set mate acero con yerba la merced, bombilla y cepillo Blanco / CAMPO SUR",144541525,shopify_cl_9695815368985_49636926685465,No apto,Agotado,"CLP19,980",12,604,1.99%,CLP,14,165,0.00,0,0.00%,0.00
http://t2.gstatic.com/shopping?q=tbn:ANd9GcRJRjfNNflod99CyJlQy4y8oii4L6XsHwCN1RiMTChXk4ss2BfXuGk_Bqdr0D1aObiXXzZ7sJTt,Mate de Vidrio Eco Cuero Pedestal II | Virola de Aluminio | Listo para Usar | 200 ml MILITAR,144541525,shopify_cl_9404027928857_50171023327513,No apto,Agotado,"CLP7,999",5,"1,318",0.38%,CLP,94,470,0.00,0,0.00%,0.00
http://t0.gstatic.com/shopping?q=tbn:ANd9GcSbgyP73-xbAQZK7KTYEqpx4U9zLuPJKT1Ajs8kNQk3dIqv0uDb5RB-0FoMNV2BgOPylqCfmPk,Mermelada de Higo Cormillot Dulcor 454 g,144541525,shopify_cl_10164749926681_51541145714969,Apto,,"CLP3,990",25,"3,078",0.81%,CLP,133,3325,0.00,0,0.00%,0.00
http://t0.gstatic.com/shopping?q=tbn:ANd9GcQ0BBSDNuwDK9AxVEtc2hbbukMMDs0ZS6L76pBjsogyFrijzLY4KeUeoXmNOWz1F6FKrD7VCRkX,Set Matero Todo en Uno + Mate Bocha Negro,144541525,shopify_cl_10180360438041_51596863308057,Apto,,"CLP23,990",11,"4,375",0.25%,CLP,186,2042,0.00,0,0.00%,0.00
