# ----------------------------------------
# Non Google campaign: Session campaign
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Session campaign,Active users,Sessions,Engaged sessions,Ads clicks,Ads cost,Ads impressions,Ads cost per click,Key events,Cost per key event,Total revenue,Return on ad spend
120212906325280521,44,50,0,0,0,0,0,0,0,0,0
120235872426450521,44,49,21,0,0,0,0,7,0,24990.000074,0
120232666707020521,31,38,13,0,0,0,0,0,0,0,0
(organic),30,32,17,0,0,0,0,0,0,0,0
go-recovery,27,45,20,0,0,0,0,26,0,137444.000113,0
(referral),21,21,12,0,0,0,0,3,0,0,0
1 Guardamos tu carrito,12,13,2,0,0,0,0,0,0,0,0
Descuento 15 Carrito Abandonado,8,11,4,0,0,0,0,0,0,0,0
2 Compra antes de que se agote,6,7,2,0,0,0,0,2,0,45531.999905,0
emailmarketing_180273414425,6,6,4,0,0,0,0,2,0,58315.000145,0
120243596954420521,5,5,4,0,0,0,0,0,0,0,0
120214296348060521,1,3,1,0,0,0,0,0,0,0,0
revie,1,1,0,0,0,0,0,0,0,0,0
