Día,Hora de inicio,Impresiones
Domingo,12 a.m.,"4,731"
Domingo,1 a.m.,"2,559"
Domingo,2 a.m.,"1,398"
Domingo,3 a.m.,747
Domingo,4 a.m.,478
Domingo,5 a.m.,373
Domingo,6 a.m.,635
Domingo,7 a.m.,"1,444"
Domingo,8 a.m.,"3,096"
Domingo,9 a.m.,"5,848"
Domingo,10 a.m.,"8,244"
Domingo,11 a.m.,"8,785"
Domingo,12 p.m.,"9,648"
Domingo,1 p.m.,"9,815"
Domingo,2 p.m.,"9,312"
Domingo,3 p.m.,"10,619"
Domingo,4 p.m.,"10,882"
Domingo,5 p.m.,"9,223"
Domingo,6 p.m.,"9,448"
Domingo,7 p.m.,"8,705"
Domingo,8 p.m.,"9,640"
Domingo,9 p.m.,"8,936"
Domingo,10 p.m.,"6,573"
Domingo,11 p.m.,"4,563"
Lunes,12 a.m.,"4,731"
Lunes,1 a.m.,"2,260"
Lunes,2 a.m.,"1,199"
Lunes,3 a.m.,695
Lunes,4 a.m.,597
Lunes,5 a.m.,569
Lunes,6 a.m.,886
Lunes,7 a.m.,"2,358"
Lunes,8 a.m.,"4,227"
Lunes,9 a.m.,"4,842"
Lunes,10 a.m.,"5,693"
Lunes,11 a.m.,"6,320"
Lunes,12 p.m.,"6,502"
Lunes,1 p.m.,"6,571"
Lunes,2 p.m.,"6,424"
Lunes,3 p.m.,"6,280"
Lunes,4 p.m.,"6,308"
Lunes,5 p.m.,"5,777"
Lunes,6 p.m.,"4,603"
Lunes,7 p.m.,"5,042"
Lunes,8 p.m.,"5,230"
Lunes,9 p.m.,"5,487"
Lunes,10 p.m.,"5,130"
Lunes,11 p.m.,"4,002"
Martes,12 a.m.,"3,822"
Martes,1 a.m.,"1,620"
Martes,2 a.m.,"1,116"
Martes,3 a.m.,621
Martes,4 a.m.,543
Martes,5 a.m.,511
Martes,6 a.m.,"1,135"
Martes,7 a.m.,"2,476"
Martes,8 a.m.,"5,453"
Martes,9 a.m.,"7,573"
Martes,10 a.m.,"8,014"
Martes,11 a.m.,"8,309"
Martes,12 p.m.,"8,066"
Martes,1 p.m.,"7,730"
Martes,2 p.m.,"7,804"
Martes,3 p.m.,"7,925"
Martes,4 p.m.,"7,148"
Martes,5 p.m.,"6,743"
Martes,6 p.m.,"6,565"
Martes,7 p.m.,"7,031"
Martes,8 p.m.,"7,030"
Martes,9 p.m.,"6,271"
Martes,10 p.m.,"5,716"
Martes,11 p.m.,"4,816"
Miércoles,12 a.m.,"3,685"
Miércoles,1 a.m.,"1,696"
Miércoles,2 a.m.,795
Miércoles,3 a.m.,449
Miércoles,4 a.m.,331
Miércoles,5 a.m.,532
Miércoles,6 a.m.,"1,145"
Miércoles,7 a.m.,"3,301"
Miércoles,8 a.m.,"5,601"
Miércoles,9 a.m.,"7,125"
Miércoles,10 a.m.,"8,219"
Miércoles,11 a.m.,"7,399"
Miércoles,12 p.m.,"6,522"
Miércoles,1 p.m.,"6,474"
Miércoles,2 p.m.,"7,005"
Miércoles,3 p.m.,"6,858"
Miércoles,4 p.m.,"6,387"
Miércoles,5 p.m.,"6,708"
Miércoles,6 p.m.,"6,854"
Miércoles,7 p.m.,"6,419"
Miércoles,8 p.m.,"6,895"
Miércoles,9 p.m.,"5,505"
Miércoles,10 p.m.,"4,435"
Miércoles,11 p.m.,"3,141"
Jueves,12 a.m.,"3,752"
Jueves,1 a.m.,"1,900"
Jueves,2 a.m.,"1,009"
Jueves,3 a.m.,534
Jueves,4 a.m.,475
Jueves,5 a.m.,414
Jueves,6 a.m.,"1,064"
Jueves,7 a.m.,"2,278"
Jueves,8 a.m.,"4,350"
Jueves,9 a.m.,"6,288"
Jueves,10 a.m.,"7,360"
Jueves,11 a.m.,"7,275"
Jueves,12 p.m.,"7,108"
Jueves,1 p.m.,"6,647"
Jueves,2 p.m.,"7,954"
Jueves,3 p.m.,"7,359"
Jueves,4 p.m.,"7,167"
Jueves,5 p.m.,"6,450"
Jueves,6 p.m.,"5,603"
Jueves,7 p.m.,"5,603"
Jueves,8 p.m.,"6,382"
Jueves,9 p.m.,"6,108"
Jueves,10 p.m.,"5,693"
Jueves,11 p.m.,"4,198"
Viernes,12 a.m.,"3,755"
Viernes,1 a.m.,"2,260"
Viernes,2 a.m.,"1,436"
Viernes,3 a.m.,786
Viernes,4 a.m.,666
Viernes,5 a.m.,652
Viernes,6 a.m.,"1,609"
Viernes,7 a.m.,"3,299"
Viernes,8 a.m.,"6,367"
Viernes,9 a.m.,"8,395"
Viernes,10 a.m.,"10,728"
Viernes,11 a.m.,"10,994"
Viernes,12 p.m.,"9,358"
Viernes,1 p.m.,"9,730"
Viernes,2 p.m.,"9,761"
Viernes,3 p.m.,"9,385"
Viernes,4 p.m.,"9,414"
Viernes,5 p.m.,"9,637"
Viernes,6 p.m.,"7,748"
Viernes,7 p.m.,"7,424"
Viernes,8 p.m.,"7,941"
Viernes,9 p.m.,"7,157"
Viernes,10 p.m.,"6,926"
Viernes,11 p.m.,"4,058"
Sábado,12 a.m.,"3,979"
