Semana,Valor de conv./costo,Costo,Conversiones,Valor de conv.
Semana de 29 dic 2025,25.44,"CLP5,929",8.00,"150,854.00"
Semana de 5 ene 2026,7.14,"CLP19,856",5.00,"141,798.00"
Semana de 12 ene 2026,8.78,"CLP33,745",11.00,"296,208.00"
Semana de 19 ene 2026,12.97,"CLP25,303",10.00,"328,168.00"
Semana de 26 ene 2026,6.06,"CLP43,644",9.94,"264,485.58"
Semana de 2 feb 2026,0.88,"CLP45,787",2.00,"40,159.00"
Semana de 9 feb 2026,8.59,"CLP31,175",10.00,"267,910.00"
Semana de 16 feb 2026,4.67,"CLP19,168",4.00,"89,449.00"
Semana de 23 feb 2026,2.10,"CLP41,932",4.00,"88,175.00"
Semana de 2 mar 2026,4.26,"CLP46,631",9.00,"198,419.00"
Semana de 9 mar 2026,6.63,"CLP44,712",13.00,"296,329.00"
Semana de 16 mar 2026,3.05,"CLP160,215",20.02,"488,667.18"
Semana de 23 mar 2026,1.80,"CLP292,732",23.73,"528,250.16"
Semana de 30 mar 2026,2.86,"CLP225,221",25.90,"643,552.92"
Semana de 6 abr 2026,3.79,"CLP198,553",24.47,"751,904.29"
Semana de 13 abr 2026,2.66,"CLP171,613",18.89,"457,186.46"
Semana de 20 abr 2026,5.50,"CLP173,589",28.00,"954,150.00"
Semana de 27 abr 2026,1.89,"CLP126,173",12.00,"238,965.00"
