# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Unassigned,63545,25,0.00039342198442048943,33.039892989220235,4.654905972145723,295796,5592,0.03532929420095995,9221521.001904
Direct,1279,424,0.3315089913995309,48.910086004691166,5.831118060985145,7458,394,0.1462079749804535,1525389.001866
Paid Social,149,41,0.2751677852348993,21.42953020134228,5.456375838926174,813,7,0.013422818791946308,24990.000074
Cross-network,98,43,0.4387755102040816,27.081632653061224,6.6020408163265305,647,1,0.01020408163265306,0
Email,37,12,0.32432432432432434,20.945945945945947,4.027027027027027,149,4,0.10810810810810811,103847.00005
Organic Search,33,18,0.5454545454545454,31.545454545454547,5.303030303030303,175,3,0.030303030303030304,0
Paid Search,17,10,0.5882352941176471,38.64705882352941,6.235294117647059,106,0,0,0
Organic Social,9,1,0.1111111111111111,0,3.4444444444444446,31,0,0,0
Referral,5,5,1,114.4,21.4,107,0,0,0
Paid Other,3,2,0.6666666666666666,9.333333333333334,4,12,0,0,0
Organic Shopping,1,1,1,186,14,14,0,0,0
