# ----------------------------------------
# User acquisition cohorts: First user primary channel group (Default Channel Group)
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
First user primary channel group (Default Channel Group),New users,Total revenue,Transactions,Average 120d value
Paid Social,105,44532.000156,2,424.1142872
Direct,91,10529186.002462,342,115705.3406863956
Cross-network,79,0,0,0
Organic Search,26,0,0,0
Email,20,111605.000722,4,5580.2500361
Unassigned,19,190424.000552,8,10022.315818526316
Paid Search,15,0,0,0
Organic Social,9,0,0,0
Referral,4,0,0,0
Paid Other,3,0,0,0
